,timestamp,semanal_WOO Network,semanal_aelf,semanal_XRP,semanal_Stellar,semanal_Solana,semanal_Marinade staked SOL,semanal_Uniswap,semanal_Aragon,semanal_Bitcoin Avalanche Bridged (BTC.b),semanal_PAX Gold,semanal_FLOKI,semanal_Ocean Protocol,semanal_dYdX,semanal_Bone ShibaSwap,semanal_Litecoin,semanal_OKB,semanal_Bitcoin Cash,semanal_Wrapped Bitcoin
0,2022-11-27,0.4821591751593301,1.1753556410700854,1.1738089150919662,0.8244585151629485,0.851364751575779,0.8713189781570213,0.5082840963383726,0.6000100715916388,0.9346815031464984,0.9652822680524683,2.5424398855371835,0.7459388574833818,0.24130772491809296,0.9679213642854765,3.486999946567728,1.7205581528212468,1.5888528651827345,0.8577328254294576
1,2022-12-04,0.8288108664460451,1.091344828842028,1.4613151464348046,0.8554159247472141,0.9797121153620325,1.027077846145058,0.8133909258952223,0.7894002026889203,1.0721115225733175,1.0462668252271659,7.376833467158767,1.3560070053188724,0.17973843157031982,2.824184159641849,5.743592095157126,2.1180860085186093,1.643420656574117,1.0384453340073951
2,2022-12-11,0.7995143079502255,1.5237378783688238,1.2705652953060547,0.6980361881864147,1.0393560494054759,1.0937886890026207,1.29442998317206,2.1791144467164263,1.2384239170558309,1.1276194450097419,5.46804788327164,1.7375783414793942,0.12699902920767775,6.102954613754284,6.454419804998445,2.087656343739438,1.5865981259361934,1.1913203252027775
3,2022-12-18,1.1962107020896733,2.1902498260587238,0.989761830383195,0.45904406347678745,0.8361667202656607,0.8834269333904649,0.8109856095390752,1.470739989481446,1.286467870618507,1.1779695589393278,4.37810492113045,4.449245381758462,0.07264835922066888,3.143643963045162,3.8989039068676674,2.7849713336119613,1.1649745272622123,1.2695141281074283
4,2022-12-25,0.5718906425453049,2.889983159862703,0.5820205500280865,0.2741766548079316,0.3906730610645415,0.4225993412631247,0.4389498060337704,0.9586453641916663,1.0551684877467074,1.2066851827658487,3.3637515465706493,3.4955212452655764,0.01756663042465995,3.8522786837326413,1.8482199158779993,2.6848747042636902,0.8418965945763698,1.0487686857312264
5,2023-01-01,0.6765284756515765,4.227766162944106,0.6168049308469924,0.22001981610443808,0.14630793315965204,0.15778948279869048,0.3543638945023046,1.969645458838499,1.0221668486213318,1.24579999314368,2.046713130620475,5.032433931347512,0.00587282673037051,4.22000586325717,2.601420339354612,5.2422818328164515,0.757681791135144,1.0086145359964305
6,2023-01-08,1.2024775347997838,8.910810014224081,0.5231724440689948,0.24221946976628309,0.5329759966009949,0.5814370142045647,0.5221551507521887,1.652945000496421,1.0784443565913353,1.401926547100049,1.2524706453648677,8.118540653640885,0.010328164053841326,14.91687778103096,4.797601886382326,13.296165534131921,0.7901059914356425,1.0673513857948154
7,2023-01-15,7.255724912646317,12.235269493783079,0.8409956581263381,0.4811177927329916,5.11627650562422,5.184659880509881,1.1087233680442767,3.9979965920971727,2.0713645269427,1.5990535268596702,2.4057312043598658,53.17222994754378,0.03255017666583277,57.542492736551544,10.375829587769333,16.879212397185,1.9204244193070574,2.054447070050531
8,2023-01-22,21.097323355439332,17.637288203291817,1.3296756427565675,0.7511040497642023,38.52817348089845,43.09609568147765,1.763020654050547,9.327945454127713,6.008506468922069,1.7552241440300131,9.542247277778516,171.93187868484384,0.046597284801030814,177.9277437662601,13.385801422730724,39.134800609408906,3.536761181104228,5.925544384456535
9,2023-01-29,19.662351246635307,19.568055828887882,1.8812392818320436,1.1492248998819712,52.73853066975157,58.584621774792616,2.3027525259372443,17.448916058793145,9.483139700302148,1.8813693349431977,45.18244250670942,1140.9849509232267,0.35522175714332554,139.18553544261766,15.889678428814872,93.11449233007566,5.499148702085152,9.457770300392921
10,2023-02-05,18.832169922142203,21.257237241671582,1.7841681356626893,1.134331040406335,60.910041580403934,68.94539843433104,2.8542725670724374,23.602771232137577,10.835551972538362,1.7259897785552045,5134.377490627497,1325.0111137634904,6.446354488367092,238.64854652491164,29.6354103738854,154.373372793563,6.6343204386317325,10.822461642357506
11,2023-02-12,66.5175135528906,46.658253547102674,1.3217647885238963,0.865962833092788,28.183680937492753,32.24079213528154,2.2133902677266795,14.09134365917147,8.170381046420149,1.4599304284450878,6671.4836645014275,6215.87393705502,4.117209152190294,645.8923818910082,27.87608934616477,288.3939872003067,4.874959260492268,8.20453782079764
12,2023-02-19,62.018422324673175,97.37448892439126,1.1923006933385565,0.8185642763719078,31.358697849862086,36.05149445251599,2.145732611623179,13.523952577058553,8.605972531020464,1.3213578543295987,42517.35141905705,6561.155793348407,4.156608975696042,317.06310035864294,30.348647044941522,494.664398084432,4.8216265050166305,10.547865063266649
13,2023-02-26,74.08080994483541,238.2752813143817,1.2187971542982,1.0775354347353598,53.364818828214275,61.30330838319747,2.9334665203218444,16.662473461205874,13.066600325074027,1.249093442454674,293396.83308065875,4311.280907357699,3.768075903125105,1051.1192136780992,24.81152467597154,1009.5125161220215,7.784446249923009,12.996598331885897
14,2023-03-05,32.64424273292224,406.80476787606085,1.0315993234650722,0.7680392761515397,28.43668746995329,32.952793473493905,1.8725199106129777,7.336588978599596,10.087646698767955,1.3127033022248449,284245.9795535064,2044.136370680465,4.817705837367221,617.5938480362511,23.309425003621588,975.2090746436147,5.232648588459925,10.128508667583272
15,2023-03-12,9.572006178266388,429.6197171587423,0.9470330994526411,0.4487755325331732,10.243576671217848,11.857343980779794,1.07964581420134,2.2203686609329463,5.725995352862433,1.3888024900671803,69020.1429462462,983.9836080810684,0.6597394505633704,469.40516395865745,7.915299498234178,320.0918725718114,2.403813951547354,5.853218556094125
